date;close;open;high;low
27/10/2016;4836.45;4883.07;4885.83;4831.69
28/10/2016;4805.59;4820.5;4848.55;4794.07
31/10/2016;4801.27;4821.31;4823.92;4801.16
01/11/2016;4766.94;4810.3;4811.02;4726.35
02/11/2016;4726.91;4764.83;4773.65;4717.56
03/11/2016;4679.1;4718.53;4732.2;4673.05
04/11/2016;4660.46;4647.59;4697.94;4647.59
07/11/2016;4773.73;4737.98;4777.06;4731.79
08/11/2016;4804.92;4766.48;4824.97;4757.25
09/11/2016;4825.18;4748.91;4832.95;4747.35
10/11/2016;4747.03;4849.71;4855.79;4685.74
11/11/2016;4751.95;4729.14;4759.83;4711.96
14/11/2016;4702.05;4752.61;4753.27;4677.41
15/11/2016;4764.47;4733.57;4778.65;4727.98
16/11/2016;4792.27;4745.03;4794.57;4742.95
17/11/2016;4826.59;4789.79;4826.75;4781.72
18/11/2016;4808.04;4832.81;4840.81;4804.44
21/11/2016;4859;4822.03;4862.23;4819.57
22/11/2016;4873.84;4876.92;4884.63;4861.08
23/11/2016;4853.86;4856.72;4859.67;4832.59
24/11/2016;4853.86;4856.72;4859.67;4832.59
25/11/2016;4870.02;4861.47;4870.9;4853.04
28/11/2016;4857.02;4861.73;4878.87;4852.71
29/11/2016;4873.21;4859.85;4896.57;4848.89
30/11/2016;4810.81;4876.3;4880.76;4810.81
01/12/2016;4734.1;4806.77;4810.44;4723.57
02/12/2016;4739.37;4734.38;4759.03;4721.41
05/12/2016;4778.14;4762.34;4795.28;4743.53
06/12/2016;4788.67;4786.06;4796.58;4769.39
07/12/2016;4851.94;4778.86;4854.32;4765.44
08/12/2016;4859.19;4849.75;4869.56;4843.04
09/12/2016;4895.9;4878.54;4897.24;4877.18
12/12/2016;4874.3;4878.04;4882.98;4854.27
13/12/2016;4935.84;4893.65;4960.48;4890.15
14/12/2016;4921.22;4943.64;4955.25;4910.76
15/12/2016;4933.41;4925.65;4959.9;4919.81
16/12/2016;4914.86;4945.04;4952.14;4904.38
19/12/2016;4934.85;4919.17;4963;4911.75
20/12/2016;4953.8;4948.34;4961.55;4944.32
21/12/2016;4948.91;4952.07;4957.45;4938.24
22/12/2016;4934.39;4948.36;4948.36;4917.33
23/12/2016;4940.02;4927.53;4940.04;4922.95
26/12/2016;4940.02;4927.53;4940.04;4922.95
27/12/2016;4965.81;4948.92;4992.08;4947.59
28/12/2016;4926.29;4976.42;4978.43;4922.09
29/12/2016;4918.28;4923.92;4933.71;4903.28
30/12/2016;4863.62;4925.36;4927.16;4853.93
02/01/2017;4863.62;4925.36;4927.16;4853.93
03/01/2017;4911.33;4900.85;4928.49;4884.52
04/01/2017;4937.21;4920.79;4944.75;4919.8
05/01/2017;4964.95;4936.35;4967.9;4935.34
06/01/2017;5007.08;4973.87;5020.7;4957.82
09/01/2017;5024.9;5013.82;5033.32;5009.45
10/01/2017;5035.17;5027.5;5049.83;5016.19
11/01/2017;5050.21;5033.88;5050.21;5012.65
12/01/2017;5041.43;5029.28;5044.37;4995.07
13/01/2017;5059.51;5047.56;5066.95;5045.92
16/01/2017;5059.51;5047.56;5066.95;5045.92
17/01/2017;5044.65;5043.07;5053.2;5029.61
18/01/2017;5055.85;5050.26;5058.2;5039.18
19/01/2017;5051.17;5061.1;5078.41;5041.21
20/01/2017;5063.2;5070.15;5085.34;5050.02
23/01/2017;5065.7;5055.97;5073.24;5035.49
24/01/2017;5101.06;5079.61;5108.22;5068.37
25/01/2017;5151.47;5132.87;5153.18;5129
26/01/2017;5156.92;5164.12;5168.2;5148.85
27/01/2017;5168.06;5169.49;5172.43;5150.18
30/01/2017;5129.33;5146.41;5146.88;5098.34
31/01/2017;5116.77;5107.47;5116.8;5086.33
01/02/2017;5152.69;5157.83;5162.46;5128.9
02/02/2017;5147.7;5141.27;5162.56;5128.76
03/02/2017;5161.6;5153.61;5165.47;5147.58
06/02/2017;5167.96;5154.18;5167.96;5148.06
