date,JOPA3_open,JOPA3_high,JOPA3_low,JOPA3_close,JOPA3_tick_volume,JOPA3_spread,JOPA3_real_volume,JOPA4_open,JOPA4_high,JOPA4_low,JOPA4_close,JOPA4_tick_volume,JOPA4_spread,JOPA4_tick_volume,CGRA3_open,CGRA3_high,CGRA3_low,CGRA3_close,CGRA3_tick_volume,CGRA3_spread,CGRA3_tick_volume,CGRA4_open,CGRA4_high,CGRA4_low,CGRA4_close,CGRA4_tick_volume,CGRA4_spread,CGRA4_tick_volume,SLED3_open,SLED3_high,SLED3_low,SLED3_close,SLED3_tick_volume,SLED3_spread,SLED3_tick_volume
2018-06-01 11:56:00,18.92,18.92,18.92,18.92,1,1,500,17.16,17.16,17.16,17.16,1.0,1.0,1.0,11.22,11.22,11.22,11.22,1,1,1,10.64,10.64,10.64,10.64,3,1,3,341.74,341.74,341.74,341.74,1,1,1
2018-06-01 15:32:00,18.92,18.92,18.92,18.92,1,1,1200,17.84,17.84,17.84,17.84,1.0,1.0,1.0,11.22,11.22,11.22,11.22,1,1,1,10.79,10.79,10.79,10.79,2,1,2,362.87,362.87,362.87,362.87,1,1,1
2018-06-01 16:33:00,18.92,18.92,18.92,18.92,1,1,1200,18.3,18.3,18.3,18.3,1.0,1.0,1.0,11.22,11.22,11.22,11.22,1,1,1,10.79,10.79,10.79,10.79,1,1,1,341.52,341.52,341.52,341.52,1,1,1
2018-07-16 16:05:00,18.92,18.92,18.92,18.92,1,1,100,18.3,18.3,18.3,18.3,1.0,1.0,1.0,11.22,11.22,11.22,11.22,1,1,1,10.79,10.79,10.79,10.79,1,1,1,341.52,341.52,341.52,341.52,2,1,2
2018-08-01 17:00:00,18.45,18.45,18.45,18.45,1,1,400,18.51,18.51,18.51,18.51,1.0,1.0,1.0,11.22,11.22,11.22,11.22,4,1,4,10.79,10.79,10.79,10.79,2,1,2,341.52,341.52,341.52,341.52,1,1,1
2018-08-02 15:48:00,18.45,18.45,18.45,18.45,2,1,500,18.31,18.31,18.31,18.31,1.0,1.0,1.0,11.22,11.22,11.22,11.22,1,1,1,10.81,10.81,10.81,10.81,1,1,1,362.44,362.44,362.44,362.44,1,1,1
2018-08-02 15:54:00,18.45,18.45,18.45,18.45,3,1,600,17.97,17.97,17.97,17.97,1.0,1.0,1.0,11.22,11.22,11.22,11.22,1,1,1,10.67,10.67,10.65,10.65,2,1,2,298.83,298.83,298.83,298.83,1,1,1
2018-08-03 17:00:00,17.1,17.1,17.1,17.1,3,1,500,17.97,17.97,17.97,17.97,1.0,1.0,1.0,11.22,11.22,11.22,11.22,1,1,1,10.68,10.68,10.68,10.68,1,1,1,341.52,341.52,341.52,341.52,1,1,1
2018-08-06 12:59:00,17.78,17.78,17.78,17.78,1,1,100,17.62,17.62,17.62,17.62,1.0,1.0,1.0,11.22,11.22,11.22,11.22,2,1,2,10.68,10.68,10.64,10.64,5,1,5,341.52,341.52,341.52,341.52,1,1,1
2018-08-13 16:34:00,18.45,18.45,18.45,18.45,2,1,600,17.97,17.97,17.97,17.97,1.0,1.0,1.0,11.46,11.46,11.46,11.46,2,1,2,10.79,10.79,10.79,10.79,2,1,2,341.52,341.52,341.52,341.52,2,1,2
