date,ESGU11_open,ESGU11_high,ESGU11_low,ESGU11_close,ESGU11_tick_volume,ESGU11_spread,ESGU11_real_volume,ELAS11_open,ELAS11_high,ELAS11_low,ELAS11_close,ELAS11_tick_volume,ELAS11_spread,ELAS11_tick_volume,HASH11_open,HASH11_high,HASH11_low,HASH11_close,HASH11_tick_volume,HASH11_spread,HASH11_tick_volume,BITH11_open,BITH11_high,BITH11_low,BITH11_close,BITH11_tick_volume,BITH11_spread,BITH11_tick_volume,CRPT11_open,CRPT11_high,CRPT11_low,CRPT11_close,CRPT11_tick_volume,CRPT11_spread,CRPT11_tick_volume
2022-02-25 11:47:00,8.42,8.42,8.42,8.42,1,1,250,100.08,100.1,100.06,100.06,5,1,5,60.88,60.91,60.87,60.87,24,1,24,52.86,52.86,52.85,52.85,6,1,6,8.55,8.55,8.55,8.55,1,1,1
2022-02-25 14:30:00,8.55,8.55,8.55,8.55,1,1,250,100.06,100.06,100.01,100.01,6,1,6,60.85,60.86,60.76,60.82,23,1,23,52.85,53.2,52.85,53.2,10,1,10,8.61,8.61,8.61,8.61,1,1,1
2022-02-25 15:18:00,8.56,8.56,8.56,8.56,1,1,1,100.0,100.03,100.0,100.03,5,1,5,60.82,60.88,60.82,60.88,16,1,16,53.05,53.19,52.85,52.85,18,1,18,8.55,8.55,8.55,8.55,1,1,1
2022-02-25 16:31:00,8.56,8.56,8.56,8.56,1,1,17,100.02,100.03,100.01,100.03,6,1,6,60.88,60.91,60.83,60.91,10,1,10,52.85,53.0,52.85,52.85,8,1,8,8.52,8.52,8.5,8.5,13,1,13
2022-02-25 17:35:00,8.54,8.58,8.54,8.58,3,1,205550,100.04,100.04,100.01,100.02,5,1,5,60.96,60.99,60.92,60.94,11,1,11,52.86,53.05,52.85,52.85,11,1,11,8.4,8.4,8.4,8.4,1,1,1
2022-03-02 18:15:00,8.5,8.5,8.5,8.5,5,1,2240500,100.04,100.04,100.0,100.0,5,1,5,60.94,60.99,60.91,60.99,110,1,110,52.85,52.85,52.85,52.85,5,1,5,8.61,8.61,8.61,8.61,1,1,1
2022-03-03 18:15:00,8.33,8.33,8.33,8.33,2,1,334500,100.0,100.0,99.96,99.96,5,1,5,60.97,61.05,60.97,60.97,16,1,16,52.85,52.85,52.81,52.84,8,1,8,8.5,8.5,8.5,8.5,1,1,1
2022-03-04 10:05:00,8.33,8.33,8.33,8.33,1,1,6,99.98,100.01,99.97,99.97,5,1,5,60.99,61.06,60.99,61.01,16,1,16,52.84,52.84,52.81,52.81,6,1,6,8.5,8.5,8.5,8.5,1,1,1
2022-03-04 11:34:00,8.4,8.4,8.4,8.4,1,1,6,99.96,99.96,99.89,99.9,5,1,5,61.01,61.07,60.99,61.03,14,1,14,52.81,52.81,52.81,52.81,5,1,5,8.45,8.45,8.4,8.4,4,1,4
2022-03-04 12:21:00,8.31,8.31,8.31,8.31,1,1,1,99.92,99.95,99.92,99.95,6,1,6,61.03,61.03,61.0,61.0,15,1,15,52.81,52.81,52.6,52.62,11,1,11,8.4,8.4,8.4,8.4,1,1,1
