date,XMAL11_open,XMAL11_high,XMAL11_low,XMAL11_close,XMAL11_tick_volume,XMAL11_spread,XMAL11_real_volume,SMAB11_open,SMAB11_high,SMAB11_low,SMAB11_close,SMAB11_tick_volume,SMAB11_spread,SMAB11_tick_volume,TRIG11_open,TRIG11_high,TRIG11_low,TRIG11_close,TRIG11_tick_volume,TRIG11_spread,TRIG11_tick_volume,IVVB11_open,IVVB11_high,IVVB11_low,IVVB11_close,IVVB11_tick_volume,IVVB11_spread,IVVB11_tick_volume,SPXB11_open,SPXB11_high,SPXB11_low,SPXB11_close,SPXB11_tick_volume,SPXB11_spread,SPXB11_tick_volume
2021-09-24 11:09:00,8.91,8.91,8.91,8.91,1,1,1,,,,,,,,43.83,43.84,43.82,43.84,5.0,1.0,5.0,283.31,283.36,283.21,283.34,21,1,21,10.2,10.2,10.2,10.2,1.0,1.0,1.0
2021-09-24 11:46:00,8.88,8.88,8.88,8.88,1,1,15,,,,,,,,43.82,43.84,43.82,43.84,5.0,1.0,5.0,283.31,283.4,283.21,283.34,24,1,24,10.15,10.15,10.15,10.15,1.0,1.0,1.0
2021-09-24 11:53:00,8.86,8.86,8.85,8.85,2,1,3,,,,,,,,43.85,43.85,43.81,43.81,5.0,1.0,5.0,283.21,283.37,283.18,283.36,41,1,41,10.1,10.1,10.1,10.1,3.0,1.0,3.0
2021-09-24 11:59:00,8.86,8.86,8.86,8.86,1,1,2,,,,,,,,43.81,43.82,43.77,43.77,6.0,1.0,6.0,283.19,283.46,283.19,283.45,22,1,22,10.09,10.09,10.09,10.09,1.0,1.0,1.0
2021-09-24 12:09:00,8.9,8.9,8.9,8.9,1,1,1,,,,,,,,44.06,44.06,44.06,44.06,1.0,1.0,1.0,283.47,283.47,283.27,283.47,12,1,12,10.11,10.11,10.11,10.11,1.0,1.0,1.0
2021-09-24 12:12:00,8.93,8.93,8.93,8.93,1,1,2,,,,,,,,44.06,44.06,44.06,44.06,1.0,1.0,1.0,283.33,283.47,283.33,283.34,24,1,24,10.07,10.07,10.07,10.07,1.0,1.0,1.0
2021-09-24 12:18:00,8.9,8.9,8.9,8.9,1,1,3,,,,,,,,43.98,43.98,43.98,43.98,1.0,1.0,1.0,283.35,283.48,283.33,283.46,38,1,38,10.06,10.06,10.06,10.06,1.0,1.0,1.0
2021-09-24 12:23:00,8.9,8.9,8.9,8.9,1,1,1,,,,,,,,44.5,44.5,44.5,44.5,1.0,1.0,1.0,283.46,283.46,283.32,283.45,22,1,22,10.1,10.1,10.1,10.1,1.0,1.0,1.0
2021-09-24 13:47:00,8.9,8.9,8.9,8.9,2,1,66,,,,,,,,44.45,44.45,44.45,44.45,1.0,1.0,1.0,283.37,283.46,283.36,283.45,22,1,22,10.1,10.1,10.1,10.1,1.0,1.0,1.0
2021-09-24 14:05:00,8.92,8.92,8.92,8.92,1,1,1,,,,,,,,44.28,44.28,44.28,44.28,1.0,1.0,1.0,283.44,283.45,283.4,283.44,10,1,10,10.15,10.15,10.15,10.15,2.0,1.0,2.0
2021-09-24 14:12:00,8.93,8.93,8.93,8.93,1,1,1,,,,,,,,44.42,44.42,44.42,44.42,1.0,1.0,1.0,283.45,283.46,283.45,283.46,12,1,12,10.16,10.16,10.16,10.16,1.0,1.0,1.0
2021-09-24 14:28:00,8.94,8.94,8.94,8.94,1,1,1,,,,,,,,44.35,44.35,44.35,44.35,1.0,1.0,1.0,283.43,283.46,283.41,283.46,14,1,14,10.2,10.21,10.2,10.21,2.0,1.0,2.0
2021-09-24 14:45:00,8.89,8.95,8.89,8.95,3,1,7,,,,,,,,44.32,44.32,44.32,44.32,1.0,1.0,1.0,283.46,283.46,283.41,283.46,27,1,27,10.22,10.22,10.22,10.22,1.0,1.0,1.0
2021-09-24 14:54:00,8.95,8.95,8.95,8.95,1,1,4,,,,,,,,44.33,44.33,44.33,44.33,1.0,1.0,1.0,283.46,283.46,283.38,283.38,26,1,26,10.21,10.21,10.21,10.21,1.0,1.0,1.0
2021-09-24 14:56:00,8.96,8.96,8.96,8.96,1,1,28,,,,,,,,44.29,44.29,44.29,44.29,1.0,1.0,1.0,283.45,283.62,283.39,283.62,26,1,26,10.17,10.17,10.17,10.17,1.0,1.0,1.0
2021-09-24 15:14:00,8.97,9.06,8.97,9.06,2,1,4,,,,,,,,44.29,44.29,44.29,44.29,1.0,1.0,1.0,283.5,283.62,283.47,283.62,27,1,27,10.16,10.16,10.16,10.16,1.0,1.0,1.0
2021-09-24 15:49:00,8.89,8.89,8.8,8.8,8,1,132,,,,,,,,44.29,44.29,44.29,44.29,1.0,1.0,1.0,283.62,283.62,283.37,283.37,78,1,78,10.16,10.16,10.16,10.16,1.0,1.0,1.0
2021-09-24 15:50:00,8.8,8.8,8.8,8.8,1,1,68,,,,,,,,44.23,44.23,44.23,44.23,1.0,1.0,1.0,283.37,283.48,283.34,283.46,21,1,21,10.27,10.27,10.27,10.27,2.0,1.0,2.0
2021-09-24 16:01:00,8.91,8.91,8.91,8.91,1,1,67,,,,,,,,44.25,44.25,44.25,44.25,1.0,1.0,1.0,283.46,283.52,283.39,283.51,27,1,27,10.26,10.26,10.26,10.26,1.0,1.0,1.0
