date,GENB11_open,GENB11_high,GENB11_low,GENB11_close,GENB11_tick_volume,GENB11_spread,GENB11_real_volume,SVAL11_open,SVAL11_high,SVAL11_low,SVAL11_close,SVAL11_tick_volume,SVAL11_spread,SVAL11_tick_volume,HTEK11_open,HTEK11_high,HTEK11_low,HTEK11_close,HTEK11_tick_volume,HTEK11_spread,HTEK11_tick_volume,MILL11_open,MILL11_high,MILL11_low,MILL11_close,MILL11_tick_volume,MILL11_spread,MILL11_tick_volume,SHOT11_open,SHOT11_high,SHOT11_low,SHOT11_close,SHOT11_tick_volume,SHOT11_spread,SHOT11_tick_volume
2022-07-18 16:19:00,6.86,6.86,6.86,6.86,2,1,3,,,,,,,,58.08,58.17,58.08,58.17,2,1,2,61.02,61.09,61.02,61.08,10,1,10,48.29,48.29,48.29,48.29,1,1,1
2022-07-18 16:20:00,6.86,6.86,6.86,6.86,1,1,1,,,,,,,,58.17,58.17,58.17,58.17,1,1,1,61.06,61.09,61.01,61.01,10,1,10,48.31,48.31,48.31,48.31,1,1,1
2022-07-18 16:21:00,6.86,6.86,6.86,6.86,2,1,2,,,,,,,,57.04,57.04,57.04,57.04,1,1,1,61.02,61.02,60.98,60.99,10,1,10,48.29,48.29,48.29,48.29,1,1,1
2022-07-18 16:22:00,6.86,6.86,6.86,6.86,2,1,3,,,,,,,,57.04,58.17,57.03,57.03,7,1,7,61.0,61.0,60.95,60.97,13,1,13,48.29,48.29,48.29,48.29,1,1,1
2022-07-18 16:23:00,6.86,6.86,6.86,6.86,1,1,2,,,,,,,,57.84,57.9,57.84,57.9,2,1,2,60.97,60.97,60.97,60.97,1,1,1,48.3,48.3,48.3,48.3,1,1,1
2022-07-18 16:24:00,6.86,6.86,6.86,6.86,1,1,1,,,,,,,,58.08,58.08,58.08,58.08,1,1,1,60.78,60.78,60.74,60.74,2,1,2,48.28,48.28,48.28,48.28,1,1,1
2022-07-18 16:25:00,6.86,6.86,6.86,6.86,2,1,2,,,,,,,,58.01,58.01,58.01,58.01,1,1,1,60.69,60.69,60.69,60.69,1,1,1,48.29,48.29,48.29,48.29,1,1,1
2022-07-18 16:26:00,6.86,6.86,6.85,6.85,2,1,2,,,,,,,,58.25,58.25,58.25,58.25,1,1,1,60.95,60.95,60.95,60.95,1,1,1,48.28,48.28,48.28,48.28,1,1,1
2022-07-18 16:27:00,6.85,6.85,6.85,6.85,2,1,2,,,,,,,,58.57,58.57,58.57,58.57,1,1,1,60.81,60.81,60.81,60.81,1,1,1,48.27,48.27,48.27,48.27,1,1,1
2022-07-18 16:28:00,6.85,6.85,6.85,6.85,2,1,2,,,,,,,,58.6,58.6,58.6,58.6,1,1,1,60.95,60.95,60.95,60.95,1,1,1,48.25,48.25,48.23,48.23,4,1,4
2022-07-18 16:29:00,6.85,6.85,6.85,6.85,1,1,1,,,,,,,,58.65,58.65,58.65,58.65,1,1,1,60.92,60.92,60.92,60.92,1,1,1,48.29,48.29,48.29,48.29,1,1,1
2022-07-19 10:55:00,6.87,6.87,6.87,6.87,1,1,169,,,,,,,,58.62,58.62,58.62,58.62,1,1,1,60.16,60.57,60.16,60.57,2,1,2,48.32,48.32,48.32,48.32,1,1,1
2022-07-19 11:10:00,6.83,6.83,6.83,6.83,1,1,169,,,,,,,,58.49,58.65,58.49,58.65,2,1,2,61.96,61.96,61.96,61.96,1,1,1,48.35,48.35,48.35,48.35,1,1,1
2022-07-19 15:19:00,6.99,6.99,6.99,6.99,1,1,169,,,,,,,,58.25,58.25,58.25,58.25,1,1,1,61.62,61.62,61.59,61.61,9,1,9,48.38,48.38,48.38,48.38,1,1,1
2022-07-20 11:33:00,7.12,7.12,7.12,7.12,1,1,1,,,,,,,,58.39,58.39,58.39,58.39,1,1,1,61.61,61.61,61.6,61.61,8,1,8,48.39,48.39,48.39,48.39,1,1,1
2022-07-20 12:07:00,7.17,7.17,7.17,7.17,1,1,1,,,,,,,,58.48,58.48,58.48,58.48,1,1,1,61.61,61.61,61.61,61.61,12,1,12,48.4,48.4,48.4,48.4,3,1,3
2022-07-20 12:47:00,7.2,7.2,7.2,7.2,1,1,2,,,,,,,,58.39,58.39,58.39,58.39,1,1,1,61.61,61.61,61.61,61.61,20,1,20,48.4,48.4,48.4,48.4,1,1,1
2022-07-20 12:51:00,7.2,7.2,7.2,7.2,1,1,22,,,,,,,,58.4,58.4,58.4,58.4,1,1,1,61.61,61.61,61.61,61.61,1,1,1,48.39,48.39,48.39,48.39,1,1,1
2022-07-20 14:10:00,7.12,7.12,7.12,7.12,1,1,10,,,,,,,,58.23,58.23,58.23,58.23,1,1,1,61.61,61.61,61.61,61.61,1,1,1,48.39,48.39,48.39,48.39,1,1,1
2022-07-20 16:40:00,7.25,7.25,7.25,7.25,1,1,130,,,,,,,,57.97,58.08,57.97,58.08,2,1,2,61.22,61.22,60.7,60.7,8,1,8,48.39,48.39,48.39,48.39,1,1,1
2022-07-20 16:45:00,7.25,7.25,7.25,7.25,1,1,1,,,,,,,,59.58,59.59,59.58,59.59,3,1,3,60.65,60.65,60.65,60.65,1,1,1,48.39,48.39,48.39,48.39,1,1,1
2022-07-21 10:18:00,7.25,7.25,7.25,7.25,1,1,4,,,,,,,,59.59,59.59,59.59,59.59,1,1,1,60.62,60.62,60.62,60.62,1,1,1,48.4,48.4,48.4,48.4,2,1,2
2022-07-21 11:53:00,7.25,7.25,7.25,7.25,1,1,2,,,,,,,,59.59,59.59,59.59,59.59,1,1,1,60.9,60.9,60.9,60.9,1,1,1,48.39,48.4,48.39,48.4,2,1,2
2022-07-21 14:33:00,7.36,7.36,7.36,7.36,1,1,4,,,,,,,,58.31,58.31,58.31,58.31,1,1,1,61.08,61.08,61.08,61.08,1,1,1,48.46,48.46,48.46,48.46,1,1,1
2022-07-21 15:29:00,7.38,7.38,7.38,7.38,1,1,1,,,,,,,,58.3,58.3,58.3,58.3,1,1,1,61.15,61.15,61.15,61.15,1,1,1,48.5,48.5,48.5,48.5,2,1,2
2022-07-21 15:35:00,7.35,7.35,7.35,7.35,1,1,3,,,,,,,,58.2,58.2,58.2,58.2,1,1,1,60.6,61.38,60.6,61.38,2,1,2,48.49,48.49,48.49,48.49,1,1,1
2022-07-21 16:02:00,7.37,7.37,7.37,7.37,1,1,1,,,,,,,,58.1,58.1,58.1,58.1,2,1,2,61.38,61.38,61.38,61.38,1,1,1,48.52,48.52,48.52,48.52,1,1,1
2022-07-21 16:45:00,7.37,7.37,7.37,7.37,1,1,130,,,,,,,,58.2,58.2,58.2,58.2,1,1,1,61.37,61.38,61.37,61.38,2,1,2,48.49,48.49,48.49,48.49,1,1,1
2022-07-22 10:36:00,7.37,7.37,7.37,7.37,1,1,3,,,,,,,,58.2,58.2,58.2,58.2,1,1,1,61.62,61.81,61.62,61.81,16,1,16,48.48,48.48,48.48,48.48,1,1,1
2022-07-22 10:56:00,7.2,7.2,7.2,7.2,1,1,16,,,,,,,,58.0,58.0,58.0,58.0,1,1,1,61.8,61.82,61.77,61.77,11,1,11,48.44,48.44,48.44,48.44,2,1,2
2022-07-22 12:26:00,7.18,7.18,7.18,7.18,1,1,250,,,,,,,,58.24,58.24,58.24,58.24,1,1,1,61.78,61.78,61.71,61.71,11,1,11,48.43,48.43,48.4,48.4,4,1,4
2022-07-22 12:51:00,7.18,7.18,7.18,7.18,1,1,1,,,,,,,,57.95,57.95,57.95,57.95,1,1,1,61.71,61.75,61.69,61.69,12,1,12,48.42,48.43,48.42,48.43,3,1,3
2022-07-25 10:34:00,7.06,7.06,7.06,7.06,1,1,10,,,,,,,,57.85,57.85,57.85,57.85,1,1,1,61.68,61.68,61.68,61.68,1,1,1,48.42,48.42,48.42,48.42,1,1,1
