date,XMAL11_open,XMAL11_high,XMAL11_low,XMAL11_close,XMAL11_tick_volume,XMAL11_spread,XMAL11_real_volume,SMAB11_open,SMAB11_high,SMAB11_low,SMAB11_close,SMAB11_tick_volume,SMAB11_spread,SMAB11_tick_volume,IVVB11_open,IVVB11_high,IVVB11_low,IVVB11_close,IVVB11_tick_volume,IVVB11_spread,IVVB11_tick_volume,SPXB11_open,SPXB11_high,SPXB11_low,SPXB11_close,SPXB11_tick_volume,SPXB11_spread,SPXB11_tick_volume,SPXI11_open,SPXI11_high,SPXI11_low,SPXI11_close,SPXI11_tick_volume,SPXI11_spread,SPXI11_tick_volume
2022-07-13 10:54:00,6.2,6.2,6.2,6.2,1,1,1,,,,,,,,294.97,294.97,294.93,294.93,7,1,7,,,,,,,,178.49,178.49,178.49,178.49,2,1,2
2022-07-13 10:56:00,6.2,6.21,6.2,6.21,5,1,160,,,,,,,,294.95,295.08,294.95,295.08,4,1,4,,,,,,,,178.56,178.56,178.42,178.42,3,1,3
2022-07-13 10:59:00,6.23,6.23,6.23,6.23,5,1,8,,,,,,,,295.02,295.02,295.02,295.02,1,1,1,,,,,,,,178.32,178.33,178.32,178.33,2,1,2
2022-07-13 11:02:00,6.21,6.21,6.21,6.21,1,1,2,,,,,,,,294.98,294.99,294.9,294.9,3,1,3,,,,,,,,178.36,178.36,178.31,178.31,4,1,4
2022-07-13 11:05:00,6.22,6.22,6.22,6.22,2,1,5,,,,,,,,294.99,294.99,294.99,294.99,1,1,1,,,,,,,,178.27,178.27,178.23,178.23,3,1,3
2022-07-13 11:07:00,6.2,6.2,6.2,6.2,1,1,2,,,,,,,,294.8,294.95,294.8,294.95,27,1,27,,,,,,,,178.21,178.21,178.18,178.18,4,1,4
2022-07-13 11:08:00,6.21,6.21,6.21,6.21,1,1,3,,,,,,,,294.84,294.84,294.63,294.63,2,1,2,,,,,,,,178.23,178.35,178.23,178.35,2,1,2
2022-07-13 11:09:00,6.21,6.21,6.2,6.2,2,1,3,,,,,,,,294.76,294.76,294.63,294.63,3,1,3,,,,,,,,178.29,178.43,178.27,178.32,6,1,6
2022-07-13 11:10:00,6.19,6.19,6.19,6.19,1,1,2,,,,,,,,294.63,294.63,294.5,294.6,4,1,4,,,,,,,,178.31,178.32,178.31,178.32,3,1,3
2022-07-13 11:12:00,6.21,6.21,6.21,6.21,1,1,2,,,,,,,,294.56,294.63,294.55,294.55,6,1,6,,,,,,,,178.33,178.35,178.33,178.35,2,1,2
2022-07-13 11:13:00,6.21,6.21,6.21,6.21,2,1,3,,,,,,,,294.55,294.55,294.41,294.41,9,1,9,,,,,,,,178.59,178.59,178.38,178.41,3,1,3
2022-07-13 11:15:00,6.2,6.2,6.2,6.2,1,1,2,,,,,,,,294.55,294.55,294.55,294.55,1,1,1,,,,,,,,178.42,178.51,178.42,178.51,3,1,3
2022-07-13 11:16:00,6.19,6.2,6.19,6.2,2,1,3,,,,,,,,294.48,294.48,294.32,294.32,6,1,6,,,,,,,,178.48,178.92,177.53,178.92,14,1,14
2022-07-13 11:17:00,6.2,6.2,6.2,6.2,4,1,183,,,,,,,,294.32,294.32,294.2,294.28,6,1,6,,,,,,,,181.0,181.0,181.0,181.0,8,1,8
2022-07-13 11:18:00,6.2,6.2,6.2,6.2,1,1,1,,,,,,,,294.32,294.45,294.2,294.2,6,1,6,,,,,,,,181.91,181.91,181.91,181.91,1,1,1
2022-07-13 11:19:00,6.19,6.19,6.19,6.19,1,1,1,,,,,,,,294.2,294.2,294.16,294.16,9,1,9,,,,,,,,181.91,182.25,181.91,182.25,3,1,3
2022-07-13 11:23:00,6.2,6.21,6.2,6.2,14,1,519,,,,,,,,294.13,294.2,294.03,294.03,10,1,10,,,,,,,,182.21,182.21,182.21,182.21,1,1,1
2022-07-13 11:24:00,6.2,6.21,6.2,6.2,9,1,232,,,,,,,,294.01,294.1,293.99,294.1,23,1,23,,,,,,,,181.1,181.1,181.1,181.1,1,1,1
2022-07-13 11:26:00,6.21,6.21,6.21,6.21,2,1,101,,,,,,,,293.99,294.05,293.99,294.05,2,1,2,,,,,,,,181.17,181.17,181.0,181.0,3,1,3
2022-07-13 11:27:00,6.21,6.21,6.21,6.21,11,1,206,,,,,,,,294.08,294.22,294.07,294.22,4,1,4,,,,,,,,181.0,181.0,181.0,181.0,2,1,2
2022-07-13 11:28:00,6.21,6.21,6.21,6.21,2,1,26,,,,,,,,294.2,294.2,294.2,294.2,1,1,1,,,,,,,,181.28,181.28,181.28,181.28,3,1,3
2022-07-13 11:30:00,6.22,6.22,6.22,6.22,2,1,101,,,,,,,,294.2,294.2,294.07,294.07,10,1,10,,,,,,,,181.16,181.29,181.16,181.29,13,1,13
2022-07-13 11:31:00,6.22,6.23,6.22,6.23,4,1,181,,,,,,,,294.0,294.02,293.97,293.97,10,1,10,,,,,,,,181.3,181.3,181.3,181.3,3,1,3
2022-07-13 11:33:00,6.23,6.24,6.23,6.23,4,1,201,,,,,,,,294.06,294.06,293.99,293.99,3,1,3,,,,,,,,181.3,181.3,181.3,181.3,2,1,2
2022-07-13 11:34:00,6.23,6.24,6.23,6.24,4,1,134,,,,,,,,294.03,294.03,293.95,293.95,9,1,9,,,,,,,,181.2,181.2,181.2,181.2,1,1,1
2022-07-13 11:35:00,6.24,6.24,6.24,6.24,3,1,56,,,,,,,,293.97,294.06,293.97,294.06,4,1,4,,,,,,,,181.23,181.23,181.23,181.23,1,1,1
2022-07-13 11:36:00,6.24,6.24,6.23,6.24,9,1,288,,,,,,,,294.05,294.1,294.05,294.1,2,1,2,,,,,,,,181.06,181.1,180.92,180.92,4,1,4
2022-07-13 11:38:00,6.24,6.24,6.24,6.24,1,1,1,,,,,,,,294.15,294.19,294.15,294.19,2,1,2,,,,,,,,180.86,180.86,180.86,180.86,1,1,1
2022-07-13 11:39:00,6.25,6.25,6.25,6.25,2,1,101,,,,,,,,294.23,294.23,294.06,294.06,5,1,5,,,,,,,,181.23,181.23,181.23,181.23,1,1,1
2022-07-13 11:40:00,6.26,6.26,6.26,6.26,4,1,91,,,,,,,,294.1,294.11,294.06,294.1,6,1,6,,,,,,,,181.3,181.3,181.3,181.3,1,1,1
2022-07-13 11:44:00,6.27,6.27,6.27,6.27,2,1,100,,,,,,,,294.1,294.1,294.06,294.06,4,1,4,,,,,,,,181.3,181.3,181.3,181.3,1,1,1
2022-07-13 11:45:00,6.27,6.27,6.27,6.27,2,1,170,,,,,,,,294.17,294.17,293.99,294.04,10,1,10,,,,,,,,181.3,181.3,181.3,181.3,10,1,10
2022-07-13 11:48:00,6.27,6.28,6.27,6.28,7,1,300,,,,,,,,294.03,294.03,294.03,294.03,1,1,1,,,,,,,,181.25,181.25,181.25,181.25,1,1,1
2022-07-13 11:51:00,6.28,6.28,6.28,6.28,2,1,101,,,,,,,,293.97,293.97,293.97,293.97,3,1,3,,,,,,,,181.42,181.42,181.42,181.42,1,1,1
2022-07-13 11:53:00,6.28,6.28,6.28,6.28,2,1,39,,,,,,,,294.04,294.04,294.04,294.04,1,1,1,,,,,,,,181.25,181.25,181.25,181.25,1,1,1
2022-07-13 11:54:00,6.27,6.28,6.27,6.27,3,1,37,,,,,,,,294.04,294.16,294.04,294.16,5,1,5,,,,,,,,181.25,181.25,181.25,181.25,1,1,1
2022-07-13 11:57:00,6.27,6.27,6.27,6.27,3,1,45,,,,,,,,294.19,294.19,294.01,294.01,4,1,4,,,,,,,,181.22,181.22,181.22,181.22,2,1,2
2022-07-13 12:02:00,6.27,6.27,6.27,6.27,1,1,1,,,,,,,,294.04,294.14,294.04,294.14,3,1,3,,,,,,,,181.23,181.25,181.23,181.25,2,1,2
2022-07-13 12:03:00,6.27,6.27,6.27,6.27,2,1,2,,,,,,,,294.16,294.16,294.16,294.16,2,1,2,,,,,,,,181.37,181.37,181.37,181.37,1,1,1
2022-07-13 12:05:00,6.27,6.27,6.27,6.27,3,1,85,,,,,,,,294.16,294.2,294.05,294.2,26,1,26,,,,,,,,182.08,182.08,182.07,182.07,2,1,2
2022-07-13 12:07:00,6.27,6.27,6.27,6.27,2,1,2,,,,,,,,294.06,294.2,294.06,294.06,26,1,26,,,,,,,,182.15,182.15,182.15,182.15,2,1,2
2022-07-13 12:08:00,6.26,6.26,6.26,6.26,2,1,37,,,,,,,,294.19,294.2,294.09,294.09,3,1,3,,,,,,,,182.1,182.1,182.1,182.1,1,1,1
2022-07-13 12:09:00,6.26,6.26,6.26,6.26,1,1,1,,,,,,,,294.18,294.19,294.17,294.17,3,1,3,,,,,,,,182.0,182.0,182.0,182.0,1,1,1
2022-07-13 12:19:00,6.25,6.25,6.25,6.25,1,1,1,,,,,,,,294.2,294.2,294.2,294.2,2,1,2,,,,,,,,182.0,182.01,182.0,182.01,2,1,2
2022-07-13 12:21:00,6.24,6.24,6.24,6.24,1,1,1,,,,,,,,294.2,294.24,294.09,294.22,6,1,6,,,,,,,,181.86,181.86,181.86,181.86,1,1,1
2022-07-13 12:23:00,6.24,6.24,6.24,6.24,4,1,4,,,,,,,,294.19,294.3,294.12,294.3,4,1,4,,,,,,,,181.87,181.87,181.87,181.87,1,1,1
2022-07-13 12:24:00,6.24,6.24,6.24,6.24,1,1,1,,,,,,,,294.34,294.34,294.17,294.17,3,1,3,,,,,,,,181.86,181.86,181.86,181.86,1,1,1
2022-07-13 12:27:00,6.24,6.24,6.24,6.24,1,1,2,,,,,,,,294.42,294.42,294.42,294.42,2,1,2,,,,,,,,181.86,181.86,181.86,181.86,1,1,1
2022-07-13 12:31:00,6.23,6.23,6.23,6.23,1,1,1,,,,,,,,294.41,294.41,294.23,294.39,5,1,5,,,,,,,,181.86,181.86,181.86,181.86,2,1,2
2022-07-13 12:32:00,6.23,6.23,6.23,6.23,2,1,2,,,,,,,,294.41,294.41,294.41,294.41,1,1,1,,,,,,,,181.75,181.75,181.75,181.75,2,1,2
2022-07-13 12:34:00,6.24,6.24,6.24,6.24,2,1,200,,,,,,,,294.54,294.55,294.54,294.55,4,1,4,,,,,,,,181.62,181.62,181.61,181.61,2,1,2
2022-07-13 12:35:00,6.23,6.23,6.23,6.23,1,1,1,,,,,,,,294.38,294.55,294.38,294.55,3,1,3,,,,,,,,181.8,181.8,181.8,181.8,1,1,1
2022-07-13 12:36:00,6.24,6.24,6.24,6.24,2,1,6,,,,,,,,294.65,294.65,294.44,294.65,3,1,3,,,,,,,,181.94,181.94,181.94,181.94,2,1,2
2022-07-13 12:37:00,6.24,6.24,6.24,6.24,1,1,1,,,,,,,,294.57,294.65,294.57,294.65,4,1,4,,,,,,,,182.02,182.02,182.02,182.02,1,1,1
2022-07-13 12:40:00,6.24,6.24,6.24,6.24,2,1,2,,,,,,,,294.68,294.68,294.58,294.58,2,1,2,,,,,,,,182.1,182.1,182.1,182.1,1,1,1
2022-07-13 12:41:00,6.24,6.24,6.24,6.24,1,1,32,,,,,,,,294.84,294.84,294.77,294.77,3,1,3,,,,,,,,181.89,181.89,181.89,181.89,1,1,1
2022-07-13 12:42:00,6.24,6.24,6.24,6.24,2,1,2,,,,,,,,294.6,294.72,294.6,294.72,3,1,3,,,,,,,,182.02,182.05,182.02,182.05,2,1,2
2022-07-13 12:44:00,6.24,6.24,6.24,6.24,1,1,1,,,,,,,,294.52,294.67,294.52,294.67,2,1,2,,,,,,,,181.71,181.71,181.71,181.71,1,1,1
2022-07-13 12:45:00,6.23,6.23,6.23,6.23,3,1,32,,,,,,,,294.52,294.52,294.52,294.52,1,1,1,,,,,,,,181.63,181.63,181.63,181.63,2,1,2
2022-07-13 12:46:00,6.23,6.23,6.23,6.23,3,1,35,,,,,,,,294.53,294.68,294.5,294.61,6,1,6,,,,,,,,181.5,181.5,181.5,181.5,1,1,1
2022-07-13 12:51:00,6.23,6.23,6.23,6.23,5,1,34,,,,,,,,294.43,294.57,294.4,294.4,5,1,5,,,,,,,,181.25,181.25,181.25,181.25,1,1,1
2022-07-13 12:53:00,6.23,6.23,6.23,6.23,2,1,18,,,,,,,,294.4,294.52,294.4,294.52,2,1,2,,,,,,,,181.03,181.03,181.03,181.03,1,1,1
