date,META11_open,META11_high,META11_low,META11_close,META11_tick_volume,META11_spread,META11_real_volume,ETHE11_open,ETHE11_high,ETHE11_low,ETHE11_close,ETHE11_tick_volume,ETHE11_spread,ETHE11_tick_volume,WEB311_open,WEB311_high,WEB311_low,WEB311_close,WEB311_tick_volume,WEB311_spread,WEB311_tick_volume,NFTS11_open,NFTS11_high,NFTS11_low,NFTS11_close,NFTS11_tick_volume,NFTS11_spread,NFTS11_tick_volume,BLOK11_open,BLOK11_high,BLOK11_low,BLOK11_close,BLOK11_tick_volume,BLOK11_spread,BLOK11_tick_volume
2022-09-20 14:08:00,42.88,42.88,42.88,42.88,3,1,200,60.95,60.95,60.95,60.95,1,1,1,21.4,21.4,21.4,21.4,1,1,1,33.0,33.0,33.0,33.0,1,1,1,,,,,,,
2022-09-20 14:33:00,43.49,43.49,43.49,43.49,1,1,11,60.82,60.82,60.67,60.67,26,1,26,21.5,21.5,21.5,21.5,1,1,1,34.0,34.0,34.0,34.0,1,1,1,,,,,,,
2022-09-20 16:26:00,42.88,42.88,42.88,42.88,1,1,1,60.95,60.95,60.95,60.95,1,1,1,21.4,21.4,21.23,21.23,4,1,4,34.0,34.0,34.0,34.0,1,1,1,,,,,,,
2022-09-21 10:16:00,42.88,42.88,42.88,42.88,1,1,1,61.0,61.0,61.0,61.0,1,1,1,21.56,21.56,21.56,21.56,2,1,2,34.0,34.0,34.0,34.0,1,1,1,,,,,,,
2022-09-21 10:33:00,42.88,42.88,42.88,42.88,1,1,1,61.01,61.01,61.0,61.0,5,1,5,21.56,21.56,21.56,21.56,1,1,1,40.98,40.98,40.97,40.97,8,1,8,,,,,,,
2022-09-21 11:06:00,43.99,43.99,43.99,43.99,1,1,2,60.97,61.03,60.97,61.03,14,1,14,21.27,21.27,21.23,21.23,3,1,3,40.9,40.9,40.9,40.9,1,1,1,,,,,,,
2022-09-21 11:14:00,43.0,43.0,43.0,43.0,1,1,1,60.98,61.05,60.98,61.05,8,1,8,21.18,21.18,21.18,21.18,1,1,1,40.74,40.74,40.74,40.74,1,1,1,,,,,,,
2022-09-21 11:18:00,43.39,43.98,43.39,43.98,8,1,281,61.05,61.2,61.05,61.2,10,1,10,21.01,21.01,20.99,20.99,5,1,5,40.0,40.0,40.0,40.0,1,1,1,,,,,,,
2022-09-21 11:35:00,42.89,42.89,42.89,42.89,1,1,1,61.14,61.3,60.8,60.8,30,1,30,20.99,20.99,20.99,20.99,2,1,2,38.0,38.0,38.0,38.0,2,1,2,,,,,,,
2022-09-21 11:36:00,42.89,42.89,42.89,42.89,1,1,9,61.09,61.09,61.02,61.02,5,1,5,21.09,21.09,21.09,21.09,1,1,1,40.0,40.0,40.0,40.0,1,1,1,,,,,,,
2022-09-21 12:02:00,43.99,45.0,43.99,45.0,4,1,100,61.02,61.02,61.02,61.02,1,1,1,21.09,21.51,21.09,21.51,2,1,2,40.69,40.8,40.69,40.8,7,1,7,,,,,,,
2022-09-21 12:08:00,43.0,43.0,43.0,43.0,1,1,30,60.86,61.1,60.85,61.1,3,1,3,21.55,21.55,21.51,21.51,3,1,3,40.9,41.02,40.9,41.02,5,1,5,,,,,,,
2022-09-21 12:22:00,44.98,44.98,44.98,44.98,1,1,100,61.1,61.1,61.1,61.1,1,1,1,21.37,21.37,21.37,21.37,1,1,1,41.03,41.03,41.03,41.03,1,1,1,,,,,,,
2022-09-21 12:29:00,43.0,43.0,43.0,43.0,1,1,14,61.07,61.07,60.95,60.95,3,1,3,21.55,21.55,21.55,21.55,1,1,1,41.03,41.03,40.99,40.99,3,1,3,,,,,,,
2022-09-21 13:28:00,44.94,44.94,44.94,44.94,1,1,14,60.95,61.08,60.95,61.08,3,1,3,21.3,21.3,21.3,21.3,1,1,1,40.49,40.49,40.49,40.49,1,1,1,,,,,,,
2022-09-21 13:31:00,43.0,43.0,43.0,43.0,1,1,14,60.86,60.86,60.86,60.86,1,1,1,20.26,20.26,20.26,20.26,2,1,2,40.48,40.5,40.48,40.5,2,1,2,,,,,,,
2022-09-21 14:53:00,44.0,44.0,44.0,44.0,1,1,1,60.95,60.95,60.95,60.95,2,1,2,20.9,20.9,20.08,20.08,7,1,7,40.5,40.5,40.5,40.5,1,1,1,,,,,,,
2022-09-21 15:06:00,44.0,44.0,44.0,44.0,1,1,47,60.94,60.94,60.94,60.94,1,1,1,20.94,20.94,20.94,20.94,1,1,1,40.5,40.5,40.5,40.5,1,1,1,,,,,,,
